{'Multi-pitch': 0.44848484848484854, 'Voice': 0.6597222222222222, 'Meter': 0.3076923076923077, 'Value': 0.5694135986134652, 'Harmony': 0.0, 'MV2H': 0.3970625954025687}
{'Multi-pitch': 0.24710424710424708, 'Voice': 0.9310344827586207, 'Meter': 0.034782608695652174, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.442584267711704}
{'Multi-pitch': 0.7368421052631577, 'Voice': 0.9056603773584906, 'Meter': 0.0, 'Value': 0.9578293010752689, 'Harmony': 1.0, 'MV2H': 0.7200663567393835}
{'Multi-pitch': 0.3714285714285714, 'Voice': 0.4166666666666667, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.5576190476190476}
{'Multi-pitch': 0.27586206896551724, 'Voice': 0.7052631578947369, 'Meter': 0.0, 'Value': 0.9996083006917242, 'Harmony': 1.0, 'MV2H': 0.5961467055103957}
{'Multi-pitch': 0.5392156862745098, 'Voice': 0.9607843137254902, 'Meter': 0.20714285714285713, 'Value': 0.9375, 'Harmony': 1.0, 'MV2H': 0.7289285714285715}
{'Multi-pitch': 0.4, 'Voice': 0.8695652173913043, 'Meter': 0.09929078014184398, 'Value': 0.9284998568565702, 'Harmony': 1.0, 'MV2H': 0.6594711708779437}
{'Multi-pitch': 0.1981981981981982, 'Voice': 0.8000000000000002, 'Meter': 0.05577689243027888, 'Value': 0.7272727272727274, 'Harmony': 1.0, 'MV2H': 0.5562495635802409}
{'Multi-pitch': 0.56, 'Voice': 1.0, 'Meter': 0.11904761904761905, 'Value': 0.5839179192552605, 'Harmony': 1.0, 'MV2H': 0.6525931076605759}
{'Multi-pitch': 0.5185185185185186, 'Voice': 0.5500000000000002, 'Meter': 0.2602739726027397, 'Value': 0.9545227159034062, 'Harmony': 0.5, 'MV2H': 0.556663041404933}
{'Multi-pitch': 0.4267782426778242, 'Voice': 0.7072072072072072, 'Meter': 0.18666666666666665, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.4641304233103396}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.45945945945945943, 'Voice': 0.6428571428571429, 'Meter': 0.05769230769230769, 'Value': 0.796827699210271, 'Harmony': 0.5, 'MV2H': 0.4913673218438362}
{'Multi-pitch': 0.46590909090909094, 'Voice': 1.0, 'Meter': 0.11538461538461539, 'Value': 0.9569433154077038, 'Harmony': 1.0, 'MV2H': 0.7076474043402821}
{'Multi-pitch': 0.43478260869565216, 'Voice': 0.6402116402116405, 'Meter': 0.24285714285714288, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.46357027835288706}
pass
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.3252032520325204, 'Voice': 0.875, 'Meter': 0.26666666666666666, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.5933739837398374}
{'Multi-pitch': 0.43373493975903615, 'Voice': 1.0, 'Meter': 0.2638888888888889, 'Value': 0.8334132059306273, 'Harmony': 0.5, 'MV2H': 0.6062074069157105}
{'Multi-pitch': 0.4, 'Voice': 0.3333333333333333, 'Meter': 0.16129032258064516, 'Value': 0.2704302033855069, 'Harmony': 0.5, 'MV2H': 0.3330107718598971}
{'Multi-pitch': 0.09523809523809523, 'Voice': 0.5, 'Meter': 0.08474576271186442, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.13599677158999193}
{'Multi-pitch': 0.6075949367088607, 'Voice': 0.9285714285714286, 'Meter': 0.08695652173913043, 'Value': 0.9552845528455285, 'Harmony': 1.0, 'MV2H': 0.7156814879729897}
{'Multi-pitch': 0.32786885245901637, 'Voice': 0.9166666666666666, 'Meter': 0.15217391304347827, 'Value': 0.7653903903903905, 'Harmony': 1.0, 'MV2H': 0.6324199645119103}
{'Multi-pitch': 0.4285714285714286, 'Voice': 0.8888888888888888, 'Meter': 0.26865671641791045, 'Value': 0.9052252488058568, 'Harmony': 1.0, 'MV2H': 0.6982684565368169}
{'Multi-pitch': 0.3380281690140845, 'Voice': 0.6, 'Meter': 0.030303030303030307, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.5936662398634229}
{'Multi-pitch': 0.5665529010238908, 'Voice': 1.0, 'Meter': 0.03883495145631068, 'Value': 0.9440632620254055, 'Harmony': 1.0, 'MV2H': 0.7098902229011215}
{'Multi-pitch': 0.43859649122807015, 'Voice': 0.9090909090909091, 'Meter': 0.052631578947368425, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.5800637958532695}
{'Multi-pitch': 0.23728813559322035, 'Voice': 0.7777777777777778, 'Meter': 0.14285714285714288, 'Value': 0.7828604741546832, 'Harmony': 0.5, 'MV2H': 0.4881567060765648}
{'Multi-pitch': 0.4778761061946903, 'Voice': 0.8928571428571429, 'Meter': 0.359375, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.5460216498103666}
{'Multi-pitch': 0.32380952380952377, 'Voice': 1.0, 'Meter': 0.2142857142857143, 'Value': 0.9331550802139038, 'Harmony': 0.0, 'MV2H': 0.49425006366182833}
{'Multi-pitch': 0.5100671140939597, 'Voice': 0.676470588235294, 'Meter': 0.046242774566473986, 'Value': 0.6755383860089659, 'Harmony': 0.5, 'MV2H': 0.4816637725809388}
{'Multi-pitch': 0.5595238095238096, 'Voice': 1.0, 'Meter': 0.04, 'Value': 0.9718875502008032, 'Harmony': 0.0, 'MV2H': 0.5142822719449226}
{'Multi-pitch': 0.5683060109289617, 'Voice': 0.94, 'Meter': 0.14529914529914528, 'Value': 0.9528501770476577, 'Harmony': 1.0, 'MV2H': 0.721291066655153}
{'Multi-pitch': 0.4685714285714286, 'Voice': 1.0, 'Meter': 0.0, 'Value': 0.8662650602409638, 'Harmony': 1.0, 'MV2H': 0.6669672977624785}
{'Multi-pitch': 0.41463414634146345, 'Voice': 0.4666666666666667, 'Meter': 0.24615384615384617, 'Value': 0.7497497497497498, 'Harmony': 0.5, 'MV2H': 0.4754408817823452}
{'Multi-pitch': 0.31481481481481477, 'Voice': 0.6464646464646465, 'Meter': 0.1891891891891892, 'Value': 0.5376004598501588, 'Harmony': 1.0, 'MV2H': 0.5376138220637618}
{'Multi-pitch': 0.39473684210526316, 'Voice': 0.64375, 'Meter': 0.0, 'Value': 0.75, 'Harmony': 1.0, 'MV2H': 0.5576973684210527}
{'Multi-pitch': 0.5483870967741936, 'Voice': 0.7929292929292929, 'Meter': 0.125, 'Value': 0.9539638204512756, 'Harmony': 0.5, 'MV2H': 0.5840560420309524}
{'Multi-pitch': 0.34615384615384615, 'Voice': 0.8066666666666668, 'Meter': 0.0, 'Value': 0.9618511569731082, 'Harmony': 1.0, 'MV2H': 0.6229343339587242}
{'Multi-pitch': 0.2884615384615385, 'Voice': 0.6282051282051283, 'Meter': 0.2037037037037037, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.42407407407407405}
{'Multi-pitch': 0.29411764705882354, 'Voice': 0.48, 'Meter': 0.5, 'Value': 0.9374374374374375, 'Harmony': 0.0, 'MV2H': 0.44231101689925223}
pass
{'Multi-pitch': 0.22916666666666663, 'Voice': 0.7, 'Meter': 0.0, 'Value': 0.9579789894947474, 'Harmony': 0.0, 'MV2H': 0.3774291312322828}
{'Multi-pitch': 0.3442622950819672, 'Voice': 0.7314814814814816, 'Meter': 0.24074074074074076, 'Value': 0.9090909090909091, 'Harmony': 0.0, 'MV2H': 0.44511508527901966}
{'Multi-pitch': 0.3061224489795918, 'Voice': 1.0, 'Meter': 0.15277777777777776, 'Value': 0.9168336673346693, 'Harmony': 0.5, 'MV2H': 0.5751467788184078}
{'Multi-pitch': 0.3624161073825503, 'Voice': 0.9404761904761905, 'Meter': 0.06666666666666667, 'Value': 0.8532363569567674, 'Harmony': 0.5, 'MV2H': 0.544559064296435}
{'Multi-pitch': 0.35135135135135126, 'Voice': 0.75, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.5202702702702703}
{'Multi-pitch': 0.4201680672268907, 'Voice': 1.0, 'Meter': 0.04477611940298507, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6929888373259752}
{'Multi-pitch': 0.3317073170731707, 'Voice': 0.8958333333333333, 'Meter': 0.05128205128205129, 'Value': 0.9782608695652174, 'Harmony': 0.0, 'MV2H': 0.4514167142507546}
{'Multi-pitch': 0.43243243243243246, 'Voice': 0.8809523809523809, 'Meter': 0.39743589743589747, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.6421641421641422}
{'Multi-pitch': 0.46551724137931033, 'Voice': 0.8333333333333334, 'Meter': 0.11290322580645161, 'Value': 0.8094283805706652, 'Harmony': 0.0, 'MV2H': 0.44423643621795217}
{'Multi-pitch': 0.3184713375796178, 'Voice': 0.6583333333333333, 'Meter': 0.12820512820512822, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6210019598236158}
{'Multi-pitch': 0.33526011560693647, 'Voice': 0.48750000000000004, 'Meter': 0.17171717171717174, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.5988954574648216}
{'Multi-pitch': 0.37168141592920356, 'Voice': 0.8421052631578947, 'Meter': 0.04597701149425287, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.45195273811627024}
{'Multi-pitch': 0.7692307692307692, 'Voice': 0.96875, 'Meter': 0.0625, 'Value': 0.8658634538152611, 'Harmony': 0.0, 'MV2H': 0.533268844609206}
{'Multi-pitch': 0.3312101910828025, 'Voice': 0.875, 'Meter': 0.08333333333333333, 'Value': 0.9726702508960573, 'Harmony': 1.0, 'MV2H': 0.6524427550624387}
{'Multi-pitch': 0.5054945054945056, 'Voice': 0.7395833333333335, 'Meter': 0.16666666666666669, 'Value': 0.750108387527097, 'Harmony': 0.0, 'MV2H': 0.4323705786043205}
{'Multi-pitch': 0.4615384615384615, 'Voice': 0.7754385964912281, 'Meter': 0.0, 'Value': 0.9, 'Harmony': 0.5, 'MV2H': 0.527395411605938}
{'Multi-pitch': 0.5217391304347826, 'Voice': 0.841705069124424, 'Meter': 0.026431718061674006, 'Value': 0.894390060240964, 'Harmony': 1.0, 'MV2H': 0.6568531955723689}
{'Multi-pitch': 0.5428571428571428, 'Voice': 0.9393939393939393, 'Meter': 0.10606060606060606, 'Value': 0.9423076923076923, 'Harmony': 0.0, 'MV2H': 0.506123876123876}
{'Multi-pitch': 0.45833333333333337, 'Voice': 1.0, 'Meter': 0.37037037037037035, 'Value': 0.883366733466934, 'Harmony': 1.0, 'MV2H': 0.7424140874341275}
{'Multi-pitch': 0.3684210526315789, 'Voice': 1.0, 'Meter': 0.14705882352941174, 'Value': 0.6561640410102526, 'Harmony': 1.0, 'MV2H': 0.6343287834342487}
{'Multi-pitch': 0.5938566552901025, 'Voice': 1.0, 'Meter': 0.12222222222222223, 'Value': 0.9560318161732214, 'Harmony': 1.0, 'MV2H': 0.7344221387371092}
{'Multi-pitch': 0.6231884057971014, 'Voice': 0.9571428571428572, 'Meter': 0.22826086956521738, 'Value': 0.983757951499887, 'Harmony': 0.5, 'MV2H': 0.6584700168010126}
{'Multi-pitch': 0.44878048780487806, 'Voice': 0.7600529100529101, 'Meter': 0.058823529411764705, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6535313854539105}
{'Multi-pitch': 0.593103448275862, 'Voice': 1.0, 'Meter': 0.20634920634920637, 'Value': 0.9138111520413175, 'Harmony': 1.0, 'MV2H': 0.7426527613332772}
{'Multi-pitch': 0.2966101694915254, 'Voice': 0.8275862068965517, 'Meter': 0.07142857142857144, 'Value': 0.8365384615384616, 'Harmony': 1.0, 'MV2H': 0.606432681871022}
{'Multi-pitch': 0.49473684210526314, 'Voice': 1.0, 'Meter': 0.09333333333333332, 'Value': 0.979124916499666, 'Harmony': 0.0, 'MV2H': 0.5134390183876525}
{'Multi-pitch': 0.40625, 'Voice': 0.64, 'Meter': 0.06666666666666665, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.4225833333333334}
{'Multi-pitch': 0.4583333333333333, 'Voice': 0.6333333333333334, 'Meter': 0.0923076923076923, 'Value': 0.7353339524246616, 'Harmony': 1.0, 'MV2H': 0.5838616622798041}
{'Multi-pitch': 0.5411764705882353, 'Voice': 0.9545454545454546, 'Meter': 0.19298245614035087, 'Value': 0.8856271861640109, 'Harmony': 1.0, 'MV2H': 0.7148663134876103}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.45614035087719296, 'Voice': 1.0, 'Meter': 0.3111111111111111, 'Value': 0.8199464524765729, 'Harmony': 1.0, 'MV2H': 0.7174395828929754}
{'Multi-pitch': 0.7422680412371134, 'Voice': 1.0, 'Meter': 0.36585365853658536, 'Value': 0.9283286994130368, 'Harmony': 1.0, 'MV2H': 0.8072900798373471}
{'Multi-pitch': 0.09389671361502347, 'Voice': 0.39583333333333337, 'Meter': 0.2391304347826087, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.5457720963461931}
{'Multi-pitch': 0.5869565217391304, 'Voice': 1.0, 'Meter': 0.4999999999999999, 'Value': 0.95, 'Harmony': 0.5, 'MV2H': 0.707391304347826}
{'Multi-pitch': 0.4293193717277487, 'Voice': 0.6888888888888888, 'Meter': 0.1111111111111111, 'Value': 0.9381720430107526, 'Harmony': 1.0, 'MV2H': 0.6334982829477003}
{'Multi-pitch': 0.7181818181818183, 'Voice': 1.0, 'Meter': 0.5633802816901408, 'Value': 0.9565428882697957, 'Harmony': 1.0, 'MV2H': 0.847620997628351}
{'Multi-pitch': 0.41628959276018096, 'Voice': 0.8504273504273505, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6533433886375063}
{'Multi-pitch': 0.6373626373626373, 'Voice': 1.0, 'Meter': 0.47916666666666663, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.8233058608058608}
{'Multi-pitch': 0.4385026737967914, 'Voice': 0.7250000000000001, 'Meter': 0.1473684210526316, 'Value': 0.9580823293172691, 'Harmony': 0.0, 'MV2H': 0.45379068483333845}
{'Multi-pitch': 0.1360544217687075, 'Voice': 1.0, 'Meter': 0.03703703703703704, 'Value': 0.4742641910326677, 'Harmony': 0.0, 'MV2H': 0.3294711299676824}
{'Multi-pitch': 0.32, 'Voice': 0.6393939393939394, 'Meter': 0.09756097560975609, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.4113909830007391}
{'Multi-pitch': 0.2512562814070352, 'Voice': 0.463768115942029, 'Meter': 0.0, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.4430048794698129}
{'Multi-pitch': 0.38333333333333336, 'Voice': 0.9523809523809523, 'Meter': 0.10294117647058823, 'Value': 0.9611005692599619, 'Harmony': 0.5, 'MV2H': 0.5799512062889672}
{'Multi-pitch': 0.34196891191709844, 'Voice': 0.8608695652173913, 'Meter': 0.11347517730496454, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6632627308878909}
{'Multi-pitch': 0.29015544041450775, 'Voice': 0.7028985507246376, 'Meter': 0.03076923076923077, 'Value': 0.875, 'Harmony': 0.5, 'MV2H': 0.47976464438167526}
{'Multi-pitch': 0.36363636363636365, 'Voice': 1.0, 'Meter': 0.25, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.7227272727272728}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.2921348314606742, 'Voice': 0.3888888888888889, 'Meter': 0.03703703703703704, 'Value': 0.9163319946452476, 'Harmony': 0.0, 'MV2H': 0.32687855040636954}
{'Multi-pitch': 0.3950617283950617, 'Voice': 0.5, 'Meter': 0.30303030303030304, 'Value': 0.812875751503006, 'Harmony': 1.0, 'MV2H': 0.6021935565856741}
{'Multi-pitch': 0.7999999999999999, 'Voice': 1.0, 'Meter': 0.24615384615384614, 'Value': 0.9233858510966945, 'Harmony': 0.9444444444444444, 'MV2H': 0.782796828338997}
{'Multi-pitch': 0.4307692307692308, 'Voice': 1.0, 'Meter': 0.015873015873015872, 'Value': 0.9302208835341367, 'Harmony': 0.0, 'MV2H': 0.47537262603527664}
{'Multi-pitch': 0.4507042253521127, 'Voice': 0.7347222222222222, 'Meter': 0.2833333333333333, 'Value': 0.7625789694864469, 'Harmony': 0.0, 'MV2H': 0.44626775007882297}
{'Multi-pitch': 0.2603550295857988, 'Voice': 0.5555555555555555, 'Meter': 0.056818181818181816, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.47454575339190724}
{'Multi-pitch': 0.6811594202898551, 'Voice': 0.9186046511627908, 'Meter': 0.09574468085106383, 'Value': 0.9331553868745329, 'Harmony': 0.0, 'MV2H': 0.5257328278356486}
pass
{'Multi-pitch': 0.4117647058823529, 'Voice': 0.8333333333333334, 'Meter': 0.0925925925925926, 'Value': 0.9502008032128515, 'Harmony': 1.0, 'MV2H': 0.657578287004226}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.2882882882882883, 'Voice': 0.7361111111111112, 'Meter': 0.29629629629629634, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6641391391391391}
{'Multi-pitch': 0.537037037037037, 'Voice': 0.9259259259259259, 'Meter': 0.10256410256410257, 'Value': 0.895058494848961, 'Harmony': 0.0, 'MV2H': 0.4921171120752053}
{'Multi-pitch': 0.34782608695652173, 'Voice': 0.7777777777777778, 'Meter': 0.023809523809523808, 'Value': 0.5628767575311265, 'Harmony': 0.0, 'MV2H': 0.34245802921498997}
{'Multi-pitch': 0.41221374045801523, 'Voice': 0.6977777777777778, 'Meter': 0.025974025974025976, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.6271931088419638}
{'Multi-pitch': 0.42038216560509556, 'Voice': 0.7758620689655172, 'Meter': 0.0, 'Value': 0.827913956978489, 'Harmony': 1.0, 'MV2H': 0.6048316383098203}
{'Multi-pitch': 0.22018348623853212, 'Voice': 0.7777777777777778, 'Meter': 0.14102564102564102, 'Value': 0.17768871075484305, 'Harmony': 0.0, 'MV2H': 0.2633351231593588}
{'Multi-pitch': 0.45454545454545453, 'Voice': 1.0, 'Meter': 0.052083333333333336, 'Value': 1.0, 'Harmony': 1.0, 'MV2H': 0.7013257575757577}
{'Multi-pitch': 0.0, 'Voice': 0.0, 'Meter': 0.0, 'Value': 0.0, 'Harmony': 0.0, 'MV2H': 0.0}
{'Multi-pitch': 0.29310344827586204, 'Voice': 0.6666666666666666, 'Meter': 0.16666666666666666, 'Value': 0.7567812446259986, 'Harmony': 0.0, 'MV2H': 0.37664360524703877}
{'Multi-pitch': 0.3414634146341463, 'Voice': 0.7555555555555555, 'Meter': 0.013157894736842105, 'Value': 0.4760950472373318, 'Harmony': 0.5, 'MV2H': 0.41725438243277513}
{'Multi-pitch': 0.6355140186915886, 'Voice': 0.8580246913580247, 'Meter': 0.46153846153846156, 'Value': 0.9815185927410376, 'Harmony': 0.0, 'MV2H': 0.5873191528658225}
{'Multi-pitch': 0.5747126436781609, 'Voice': 0.7936507936507936, 'Meter': 0.5925925925925927, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.5921912059843094}
{'Multi-pitch': 0.32876712328767127, 'Voice': 0.6428571428571429, 'Meter': 0.07692307692307694, 'Value': 1.0, 'Harmony': 0.5, 'MV2H': 0.5097094686135782}
{'Multi-pitch': 0.23255813953488372, 'Voice': 0.6923076923076923, 'Meter': 0.07936507936507936, 'Value': 1.0, 'Harmony': 0.0, 'MV2H': 0.40084618224153107}
{'Multi-pitch': 0.48101265822784817, 'Voice': 0.8918918918918918, 'Meter': 0.2702702702702703, 'Value': 0.9655172413793104, 'Harmony': 0.5, 'MV2H': 0.6217384123538642}
